chronic lymphocytic leukemia	Disease@D015451
cll	Disease@D015451
leukemia	Disease@D007938
sct	Disease@D007674
melanomas	Disease@D008545
nevus	Disease@D009506
metastasis	Disease@D009362
melanoma tumors	Disease@D008545
melanoma	Disease@D008545
tumors	Disease@D009369
tumor	Disease@D009369
detection of kidney tumour	Disease@D007680
autosomal recessive disorder	Disease@D030342
encephalopathy	Disease@D001927
hypotonia	Disease@D009123
seizures	Disease@D012640
failure to thrive	Disease@D005183
inherited early-onset kidney cancer syndrome	Disease@D007680
hereditary leiomyomatosis and renal cell cancer	Disease@D002292
hlrcc	Disease@D002292
renal tumour	Disease@D007680
kidney cancer	Disease@D007680
kidney tumour	Disease@D007680
ovarian cancer	Disease@D010051
gastric cancers	Disease@D013274
microsatellite instability	Disease@D053842
msi	Disease@D053842
gastric cancer	Disease@D013274
gc	Disease@D013274
chromosome fragility	Disease@D002873
cancer	Disease@D009369
breast cancer	Disease@D001943
adult glioma	Disease@D005910
primary brain tumors	Disease@D001932
gliomas	Disease@D005910
malignancy	Disease@D009369
brain tumor	Disease@D001932
brain metastases	Disease@D009362
metastases	Disease@D009362
median survival	Disease@D011475
ms	Disease@D009103
lung adenocarcinoma	Disease@C538231
non-small cell lung cancer	Disease@D002289
deadly disease	Disease@D004194
lung cancer	Disease@D008175
anaplastic lymphoma	Disease@D008223
canceration	Disease@D009369
non-small-cell lung cancer	Disease@D002289
cancers	Disease@D009369
carcinomas	Disease@D002277
malignant intraocular tumors	Disease@D009369
uveal melanomas	Disease@C536494
iris melanomas	Disease@D008545
ciliary body melanomas	Disease@D008545
uveal melanoma	Disease@C536494
choroidal and ciliary body melanomas	Disease@D008545
prostate cancer	Disease@D011471
pc	Disease@C562463
t cell lymphoma	Disease@D016399
t  cell lymphoma	Disease@D016399
tcl	Disease@D016399
colorectal metastatic cancer	Disease@D015179
leukemic transformation in myeloproliferative neoplasms	Disease@D009369
myeloproliferative neoplasms	Disease@D009369
mpns	Disease@D009369
thrombocythemia	Disease@D013922
polycythemia	Disease@D011086
primary myelofibrosis	Disease@D055728
pmf	Disease@D055728
might progress into blast-phase disease	Disease@D001752
mpn-bp	Disease@D001752
thrombocytosis	Disease@D013922
anemia	Disease@D000740
leukocytosis	Disease@D007964
thrombocytopenia	Disease@D013921
mpn-bp range from 1.5 to 2	Disease@D001752
cerebral cavernous malformations	Disease@D020786
inflammatory breast cancer	Disease@D001943
carcinoma	Disease@D002277
carcinogenesis	Disease@D063646
non-inflammatory breast cancer	Disease@D001943
rectal cancer	Disease@D009369
pretreatment tumor	Disease@D009369
chronic inflammation	Disease@D007249
cardia and non-cardia gastric cancer	Disease@D013274
cardia and non-cardia cancer	Disease@D009369
psychiatric disorders	Disease@D001523
colorectal cancer	Disease@D015179
crc	Disease@D015179
acute lymphoblastic leukemia	Disease@D054198
b-cell acute lymphoblastic leukemia	Disease@D015456
hematopoiesis	Disease@C536227
neutropenic	Disease@D009503
familial aggregation	Disease@D001791
chronic obstructive pulmonary disease	Disease@D029424
x-inactivation	Disease@D040181
inflammation	Disease@D007249
cancer types	Disease@D009369
papillary thyroid cancer	Disease@C536915
colorectal cancer and lung cancer	Disease@D015179
non-tumour	Disease@D009369
tumour	Disease@D009369
cancer-testis	Disease@D009369
multiple cancers	Disease@D009369
ct	Disease@D009369
breast cancers	Disease@D001943
esophageal cancer	Disease@D004938
epithelial ovarian cancer	Disease@D010051
eoc	Disease@D010051
malignant melanomas	Disease@D008545
toxicity	Disease@D064420
myeloid leukemia	Disease@D007951
acute myeloid leukemia	Disease@D015470
aml	Disease@D015470
death	Disease@D003643
nsclc	Disease@D002289
adenocarcinoma	Disease@D000230
sample of lung adenocarcinoma	Disease@C538231
pulmonary lobectomy	Disease@D008171
amplification refractory mutation system	Disease@D034721
arms	Disease@D018232
hematologic diseases	Disease@D006402
bone marrow fibrosis	Disease@D055728
mpn-like syndrome	Disease@C536855
epigenetic dysregulation	Disease@D021081
hyperactivity	Disease@D006948
hematopoietic cancer	Disease@D009369
hypersensitivity	Disease@D004342
hepatitis b	Disease@D006509
hepatocellular carcinoma	Disease@D006528
hcc	Disease@D006528
mma	Disease@C537358
bladder cancer	Disease@D001749
head and neck cancer	Disease@D006258
hnc	Disease@D006258
npc	Disease@D002277
increased risk of prostate cancer	Disease@D011471
somatic	Disease@D013001
ms stable	Disease@D009103
msi-h	Disease@D053842
mss	Disease@D013132
msi-l	Disease@D053842
triple-negative breast cancer	Disease@D001943
tnbc	Disease@D001943
contralateral breast cancer	Disease@D001943
breast, ovarian, and contralateral breast cancer	Disease@D001943
breast or ovarian cancer	Disease@D061325
familial breast cancer	Disease@D001943
breast cancer diagnosis	Disease@D001943
neoplasm	Disease@D009369
malignancies	Disease@D009369
uterine cervix carcinoma	Disease@D002583
cervical cancer	Disease@D009369
cervical carcinoma	Disease@D002583
ovarian carcinoma	Disease@D010051
ovarian or fallopian tube	Disease@D010049
ovarian or fallopian tube or peritoneum adenocarcinoma	Disease@D010051
toxicities	Disease@D064420
ovarian cancers	Disease@D010051
ovarian epithelial cancer	Disease@D010051
breast and ovarian cancer	Disease@D061325
peritoneal carcinomatosis	Disease@D010538
xeroderma pigmentosum	Disease@D014983
trichothiodystrophy	Disease@D054463
xp	Disease@D014983
ttd	Disease@D054463
neoplastic	Disease@D009369
neoplastic transformation	Disease@D009369
thai squamous cervical carcinomas	Disease@D002294
invasive cervical carcinomas	Disease@D065311
squamous cell carcinomas	Disease@D002294
oral carcinoma	Disease@D065311
oesophageal squamous cell carcinoma	Disease@D002294
tumours	Disease@D009369
cervical intraepithelial neoplasia	Disease@D018290
squamous cell carcinoma	Disease@D002294
scc	Disease@D002294
m  llerian tumors	Disease@D009369
mmmt	Disease@D018198
hyperdiploid	Disease@D054198
ototoxic	Disease@D006311
hearing loss	Disease@D034381
ototoxicity	Disease@D006311
hearing impairment	Disease@D034381
hereditary optic neuropathy	Disease@D009901
chemosensitivity in lung cancer	Disease@D008175
sclc	Disease@D018288
drug-sensitivity	Disease@D019966
malignant diseases	Disease@D009369
genetic determinant of cervical cancer	Disease@D009369
tumour-free and bladder cancer	Disease@D001749
urological diseases	Disease@D014570
bladder tumours	Disease@D001749
nasopharyngeal carcinoma	Disease@D002277
ovarian surface epithelium	Disease@D010049
ose	Disease@C538090
tumor-suppressor genes	Disease@D009369
tsgs	Disease@D009369
breast and female adnexal carcinoma	Disease@D001943
t(8;21) leukemia	Disease@D007938
leukemias	Disease@D007938
colorectal adenomas	Disease@C563365
colorectal neoplasms	Disease@D015179
adenomas	Disease@D000236
dysplasias	Disease@C535662
gi polyposis	Disease@D044483
acanthosis of the esophagus	Disease@D004938
cowden syndrome	Disease@D006223
polyps	Disease@D011127
thyroid goiter	Disease@D006042
hypothyroidism	Disease@D007037
lingular papillomatosis	Disease@D010212
esophageal glycogen acanthosis	Disease@D004941
inflammatory polyps	Disease@D011127
adenomatous	Disease@D011125
inherited syndrome	Disease@D030342
esophageal acanthosis	Disease@D004941
hamartomatous polyps	Disease@D011127
liver cirrhosis	Disease@D008103
hepatitis	Disease@D056486
cirrhosis	Disease@D005355
hepatocarcinogenesis	Disease@D063646
pancreatic cancer	Disease@D010190
hereditary nonpolyposis colorectal cancer	Disease@D015179
neoplasms	Disease@D009369
chronic pancreatitis	Disease@D050500
ulcerative colitis	Disease@D003093
ductal pancreatic cancers	Disease@D010190
ductal pancreatic carcinomas	Disease@D021441
ductal pancreatic carcinoma	Disease@D021441
gastrointestinal stromal tumors	Disease@D046152
gists	Disease@D046152
gastrointestinal stromal tumor	Disease@D046152
gist	Disease@D046152
mesenchymal tumor	Disease@C535700
metastatic tumors	Disease@D009362
muscle tumors	Disease@D019042
pleomorphic ones	Disease@D008228
intestinal tumors	Disease@D007414
metastasize	Disease@D009362
gastric tumors	Disease@D013274
gi-schwannoma	Disease@D005767
sarcomas	Disease@D012509
chromosome abnormalities	Disease@D002869
pregnancy loss	Disease@D034381
birth defects	Disease@D000014
male infertility	Disease@D007248
infertility	Disease@D007246
loss of motility	Disease@D015835
early pregnancy loss	Disease@D034381
childhood cancer	Disease@D009369
testicular dysgenesis syndrome	Disease@D013733
myelodysplastic syndrome	Disease@D009190
disorder of down syndrome	Disease@D030342
transient myeloproliferative disorder	Disease@C563551
tmd	Disease@D049310
leukemoid reaction	Disease@D007955
megakaryocytic leukemia	Disease@D007947
mgs	Disease@D008579
esophageal squamous cell carcinomas	Disease@C562729
esophageal	Disease@D004941
esophageal precancerous	Disease@D004941
cancerous lesions	Disease@D009369
esophageal squamous cell carcinoma	Disease@C562729
familial (inherited) to sporadic (non-inherited) cancers	Disease@D009386
retinoblastoma	Disease@D012175
embryonic retina	Disease@D020964
epithelial cancers	Disease@D009369
progression of cervical carcinoma	Disease@D002583
dysplasia	Disease@C535662
squamous cervical carcinoma	Disease@D002294
multiple myeloma	Disease@D009101
mm	Disease@D009101
aggressive	Disease@D001523
cytotoxicity	Disease@D064420
burkitt's lymphoma	Disease@D002051
familial cancer	Disease@D009369
breast carcinomas	Disease@D001943
breast tumors	Disease@D001943
breast and prostate tumors	Disease@D001943
rash	Disease@D005076
skin cancer	Disease@D012878
increased prostate cancer	Disease@D011471
excess of cancers	Disease@D009369
central nervous system tumors	Disease@D016543
sarcoma	Disease@D012509
gonadal germ cell tumors	Disease@D009373
leukaemia	Disease@D007938
