ID,class1,class2,class3,class4,class5,class6,class7,class8,class9
12,1,0,0,0,0,0,0,0,0
19,0,1,0,0,0,0,0,0,0
21,0,1,0,0,0,0,0,0,0
55,0,0,0,1,0,0,0,0,0
64,0,0,0,1,0,0,0,0,0
70,0,0,0,1,0,0,0,0,0
89,0,0,0,0,0,0,0,0,1
93,0,0,0,0,0,0,1,0,0
111,0,0,0,0,0,0,1,0,0
113,0,0,0,0,0,0,1,0,0
119,0,1,0,0,0,0,0,0,0
121,1,0,0,0,0,0,0,0,0
126,0,0,0,1,0,0,0,0,0
137,1,0,0,0,0,0,0,0,0
159,1,0,0,0,0,0,0,0,0
215,1,0,0,0,0,0,0,0,0
226,0,1,0,0,0,0,0,0,0
234,0,0,1,0,0,0,0,0,0
286,0,1,0,0,0,0,0,0,0
344,0,0,0,0,0,0,1,0,0
353,0,1,0,0,0,0,0,0,0
381,1,0,0,0,0,0,0,0,0
382,0,0,0,0,0,0,1,0,0
426,0,0,0,0,0,0,1,0,0
469,0,0,1,0,0,0,0,0,0
535,0,0,0,0,0,0,1,0,0
542,0,0,0,0,0,0,0,0,1
545,0,0,0,0,0,0,1,0,0
552,1,0,0,0,0,0,0,0,0
562,0,0,0,1,0,0,0,0,0
564,1,0,0,0,0,0,0,0,0
602,0,0,0,0,0,1,0,0,0
617,0,0,0,1,0,0,0,0,0
630,0,0,0,0,0,0,0,0,1
638,0,0,0,0,0,1,0,0,0
651,0,0,0,1,0,0,0,0,0
663,1,0,0,0,0,0,0,0,0
667,0,0,0,0,1,0,0,0,0
677,0,1,0,0,0,0,0,0,0
681,1,0,0,0,0,0,0,0,0
683,0,0,1,0,0,0,0,0,0
703,0,1,0,0,0,0,0,0,0
704,0,0,0,0,0,0,1,0,0
762,0,0,0,0,0,0,1,0,0
766,0,0,0,0,1,0,0,0,0
785,0,0,0,0,0,0,1,0,0
787,0,0,0,1,0,0,0,0,0
794,0,0,0,0,0,1,0,0,0
803,0,0,0,1,0,0,0,0,0
821,1,0,0,0,0,0,0,0,0
822,1,0,0,0,0,0,0,0,0
859,0,0,0,1,0,0,0,0,0
875,0,0,0,0,0,0,1,0,0
915,1,0,0,0,0,0,0,0,0
