ID,class1,class2,class3,class4,class5,class6,class7,class8,class9
8,0,0,0,1,0,0,0,0,0
15,0,0,0,0,0,0,0,0,1
16,0,0,0,0,0,0,0,1,0
18,0,1,0,0,0,0,0,0,0
19,0,1,0,0,0,0,0,0,0
31,0,0,0,0,0,1,0,0,0
43,0,0,0,0,0,0,0,1,0
47,0,1,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,1,0
54,0,0,0,1,0,0,0,0,0
58,0,1,0,0,0,0,0,0,0
67,0,1,0,0,0,0,0,0,0
73,0,0,0,0,0,0,1,0,0
78,0,0,0,1,0,0,0,0,0
87,0,0,0,1,0,0,0,0,0
103,0,1,0,0,0,0,0,0,0
106,0,1,0,0,0,0,0,0,0
129,1,0,0,0,0,0,0,0,0
132,0,1,0,0,0,0,0,0,0
144,0,1,0,0,0,0,0,0,0
161,0,1,0,0,0,0,0,0,0
165,0,1,0,0,0,0,0,0,0
187,0,0,0,0,0,0,0,0,1
190,0,1,0,0,0,0,0,0,0
195,0,1,0,0,0,0,0,0,0
201,0,0,0,0,0,0,0,1,0
207,0,0,0,0,0,0,0,1,0
208,0,0,0,0,0,0,0,1,0
224,0,0,0,0,0,0,0,1,0
228,0,0,0,0,0,0,0,1,0
229,0,1,0,0,0,0,0,0,0
251,0,0,0,0,0,0,0,1,0
255,0,1,0,0,0,0,0,0,0
278,0,1,0,0,0,0,0,0,0
281,0,0,0,1,0,0,0,0,0
285,0,0,0,0,0,0,0,1,0
289,0,0,0,1,0,0,0,0,0
300,0,1,0,0,0,0,0,0,0
326,0,1,0,0,0,0,0,0,0
327,0,0,0,0,0,0,1,0,0
350,0,0,0,1,0,0,0,0,0
386,0,0,0,1,0,0,0,0,0
394,0,0,0,0,0,0,0,1,0
396,0,1,0,0,0,0,0,0,0
401,0,1,0,0,0,0,0,0,0
403,0,0,0,1,0,0,0,0,0
422,0,1,0,0,0,0,0,0,0
423,0,0,0,1,0,0,0,0,0
431,0,1,0,0,0,0,0,0,0
433,0,0,0,1,0,0,0,0,0
443,0,0,0,0,0,0,0,1,0
447,0,1,0,0,0,0,0,0,0
454,0,0,0,0,0,0,1,0,0
459,0,1,0,0,0,0,0,0,0
463,1,0,0,0,0,0,0,0,0
464,0,0,0,0,0,0,1,0,0
471,0,0,1,0,0,0,0,0,0
476,0,1,0,0,0,0,0,0,0
480,0,0,0,0,1,0,0,0,0
485,0,0,0,1,0,0,0,0,0
508,0,0,0,0,0,0,0,1,0
510,0,0,0,0,0,0,1,0,0
515,0,0,0,0,1,0,0,0,0
518,0,0,0,0,0,0,0,1,0
536,0,1,0,0,0,0,0,0,0
537,1,0,0,0,0,0,0,0,0
538,0,1,0,0,0,0,0,0,0
550,0,1,0,0,0,0,0,0,0
551,1,0,0,0,0,0,0,0,0
591,0,1,0,0,0,0,0,0,0
593,0,0,0,0,0,0,0,1,0
602,0,0,0,0,0,0,0,1,0
626,0,1,0,0,0,0,0,0,0
628,0,0,0,0,0,0,0,1,0
632,0,1,0,0,0,0,0,0,0
643,0,1,0,0,0,0,0,0,0
660,0,0,0,0,0,0,0,1,0
668,0,1,0,0,0,0,0,0,0
676,0,0,0,0,0,0,0,1,0
692,0,0,0,0,1,0,0,0,0
710,0,0,0,0,0,0,0,1,0
720,0,0,0,1,0,0,0,0,0
721,0,1,0,0,0,0,0,0,0
727,0,1,0,0,0,0,0,0,0
730,0,1,0,0,0,0,0,0,0
747,0,0,0,1,0,0,0,0,0
754,0,0,0,1,0,0,0,0,0
769,0,0,0,0,0,0,0,1,0
770,1,0,0,0,0,0,0,0,0
776,0,1,0,0,0,0,0,0,0
778,0,1,0,0,0,0,0,0,0
780,0,0,0,1,0,0,0,0,0
789,0,1,0,0,0,0,0,0,0
797,0,1,0,0,0,0,0,0,0
798,0,1,0,0,0,0,0,0,0
800,0,1,0,0,0,0,0,0,0
801,0,1,0,0,0,0,0,0,0
816,0,0,0,0,0,0,0,1,0
819,0,0,0,0,0,0,0,1,0
824,0,0,0,0,0,0,0,0,1
832,0,0,0,0,0,0,0,1,0
844,0,1,0,0,0,0,0,0,0
845,0,0,0,0,0,0,0,1,0
846,0,0,0,0,0,0,0,1,0
852,0,1,0,0,0,0,0,0,0
853,0,0,0,0,0,0,0,1,0
861,0,0,0,0,0,0,0,1,0
862,0,0,0,0,0,0,0,1,0
872,0,1,0,0,0,0,0,0,0
877,0,1,0,0,0,0,0,0,0
878,0,1,0,0,0,0,0,0,0
885,0,0,0,0,0,0,0,1,0
889,0,1,0,0,0,0,0,0,0
902,0,0,0,0,0,0,0,1,0
909,0,0,0,0,0,0,0,1,0
920,0,0,0,1,0,0,0,0,0
928,0,0,1,0,0,0,0,0,0
930,0,0,0,1,0,0,0,0,0
946,0,0,0,1,0,0,0,0,0
953,0,1,0,0,0,0,0,0,0
966,0,0,0,1,0,0,0,0,0
971,0,1,0,0,0,0,0,0,0
972,0,1,0,0,0,0,0,0,0
973,0,1,0,0,0,0,0,0,0
979,0,0,0,0,0,0,0,0,1
