tp53	Gene@7157
cd20	Gene@54474
rhoj	Gene@57381
bad	Gene@572
braf	Gene@673
dna polymerase eta	Gene@5429
fumarate hydratase	Gene@2271
fh	Gene@2271
neurotrophic tyrosine receptor kinase 3	Gene@4916
ntrk3	Gene@4916
ccctc-binding factor	Gene@10664
ctcf	Gene@10664
topoisomerase 2b	Gene@7155
top2b	Gene@7155
tumor necrosis factor alpha	Gene@7124
tumor necrosis factor-alpha	Gene@7124
tnf-a	Gene@7124
tnf-alpha	Gene@7124
c-kit	Gene@3815
nras	Gene@4893
mek	Gene@5609
slc34a2	Gene@10568
epidermal growth factor receptor	Gene@1956
p53	Gene@7157
p21	Gene@1026
nedd4	Gene@4734
nedd4-1	Gene@4734
mlh1	Gene@4292
msh2	Gene@4436
dvl3	Gene@1857
axin1	Gene@8312
cdh1	Gene@999
gnaq	Gene@2776
gna11	Gene@2767
eif1ax	Gene@1964
kit	Gene@3815
cysltr2	Gene@57105
sf3b1	Gene@23451
bap1	Gene@8314
c-myc	Gene@4609
glyoxalase i	Gene@2739
rage	Gene@177
egfr	Gene@1956
kras	Gene@3845
ezh2	Gene@2146
srsf2	Gene@6427
idh2	Gene@3418
p32	Gene@3622
runx1	Gene@861
cebpa	Gene@1050
sh2b3	Gene@10019
gcc	Gene@2984
interleukin-10	Gene@3586
pik3ca	Gene@5290
flt3	Gene@2322
nfkb1	Gene@4790
nfkbia	Gene@4792
p50	Gene@4790
dnmt3a	Gene@1788
tet2	Gene@54790
mir-608	Gene@693193
sema4g	Gene@57715
mrpl43	Gene@84545
ccdc116	Gene@164592
bard1	Gene@580
brca1	Gene@672
raf	Gene@22882
craf	Gene@5894
calreticulin	Gene@811
calr	Gene@811
mpl	Gene@4352
jak2	Gene@3717
mtor	Gene@2475
pten	Gene@5728
hbc	Gene@85348
as3mt	Gene@57412
n-6 adenine-specific dna methyltransferase 1	Gene@29104
n6amt1	Gene@29104
androgen receptor	Gene@367
hnf1a	Gene@6927
erbb2	Gene@2064
epidermal growth factor receptor 2	Gene@2064
notch2	Gene@4853
notch3	Gene@4854
rb1	Gene@5925
kmt2c	Gene@58508
tgfa	Gene@7039
brca2	Gene@675
brca1/2	Gene@672;675
c.2282	Gene@1036847
c.4071	Gene@1035842
c.2831	Gene@1038373
park-2	Gene@5071
brca	Gene@672
parp	Gene@142
brca 1	Gene@672
xpd	Gene@2068
tfiih	Gene@2068
p44	Gene@26417
cip1	Gene@1026
apoptosis signal-regulating kinase 1	Gene@4217
ask1	Gene@4217
c-jun	Gene@3725
cytochrome 1a1	Gene@1543
cyp1a1	Gene@1543
cyp2e1	Gene@1571
caspase 3	Gene@12367
apaf-1	Gene@11783
proto-oncogene c-myc	Gene@4609
scc	Gene@6317
interleukin 1 receptor antagonist	Gene@3557
il-1ra	Gene@3557
il-1 ra	Gene@3557
il1-ra	Gene@3557
tissue polypeptide antigen	Gene@5327
tpa	Gene@25692
tumour suppressor gene p53	Gene@7157
nor1	Gene@8013
nor(1	Gene@127700
nor(1)	Gene@127700
opcml	Gene@4978
obcam	Gene@4978
aml1	Gene@861
eto	Gene@862
myb	Gene@4602
